3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
cat.,what's that.,who is this.,you see that.,that's a cat.,where's the dog.,look what I found.,there's a bird on a branch.,the red car is over the hill.,what's this.,bird.,wow.,there's the door.,look at this cat.,and they're called windows.,well I can see that your dog has some good breath.,well you know it.,look at this truck.,that's a nice house.,he's going to stay in bed and sleep.,we have cats.,oh.,you gotta go with the little bear and the penguin.,and then we're going to get a new toy house.,can you turn off the light.,wow.,did you like the book.,you gotta go to school in the morning.
what's the cat doing.,house.,right now we're having a family dinner.,that's a car.,oh where's your cat.,here's a little dog.,baby bird.,uhhuh.,you're gonna have to open that and pull.,that's the cat's name.,I'm not sure what bird that is.,what do birds do.,I like to go to the store and buy all the things that we need for the house.,do you want to give the cat some milk.,who's gonna move it out of the way.,yeah.,uhhuh.,"no, it's just a doll.",it's a room that's used for sleeping and relaxing.,my little grandkids.,and you have to go to the shop and get it for her.,who did you take that photo of.,you can have this.,let's go up and see what's on the second floor.,that's a nice house.,can you put the mop in the bucket.,what about a sheep.,do you know what a car is.
here's a kitty cat.,you're sitting down.,you know you have a family.,wow.,let's see what's under there.,oh yeah he's a big guy.,it's a blue bird.,the birds are singing.,you can see the fish.,and the cat was eating the cat.,he's flying up to a tree and down.,there's a little bird.,oh I'm sorry.,where is the cat.,oh yeah.,and he's gonna go on the slide.,and we'll eat that.,you're in the playroom with your big sister.,and that's the kitchen.,you can't.,this is a cat.,you can take a picture of the people in the kitchen.,I don't think so.,he said that's a good one.,there's a bathroom in the house.,can you show me where the table is.,that's right.,oh.
kitty.,there's a cat.,yes.,car.,do you see the cat.,go out with the leash.,hey hey.,a bird.,what's that.,cats.,yeah.,I'm sorry.,no.,they're both in the same litter box.,he's a good guy.,okay.,we have to take care of our food.,let's put them away and clean up.,and I think I'll leave them there.,Mommy and Daddy's so close.,oh he's a cat.,I'm gonna put my feet up.,can you pass me the car.,we're not going to the house today.,she's playing with her stuffed animal.,they're all broken.,we'll find the dog.,yeah and he's riding in the car.
where's the cat.,and then you can sit and play with them and put them away and read books and eat.,yeah.,wow.,yeah there's a cat.,right.,yeah he's a bird.,what a pretty bird.,yeah that's the car.,he's a nice boy.,bird.,they fly.,that's right.,we can give it some water.,who's that little girl.,what kind of dog does your baby have.,and then she went to the store and bought a lot of stuff to eat for dinner and then we went to eat dinner at home.,do you want some.,yeah.,yeah.,there's a cat.,yeah it's like a big box.,no.,we have some books.,wow.,I'm going to read this book to you.,and there's a dog.,oh look it's the big red car.
and that's a cat.,come on here and let's go outside.,you can't be.,oh the car goes.,oh oh.,I'm sure we can get it.,that's a duck.,a little birdie.,I'm going to get you your car.,you're not going to play with her.,we're gonna make a bird.,wanna see a bird.,can you see the kitchen.,they're gonna keep the baby cat.,what's this.,look at that dog.,right.,a doll.,well what's this room.,and what about the other people.,that's a cat.,okay.,okay.,you put them on top of the cabinet.,where's your keys.,who has a house.,she's gonna go to the vet.,you want to play with this.
can you see the cat.,look at the houses.,and so the kids get a ride.,see the car.,there's a cat.,wanna hold the dog.,you're a bird.,what's that.,and I'm going to make some of my own.,yes they are.,the one we have in the house is a robin.,what kind of bird is that.,and we're going to see the furniture.,it's a cat.,oh my goodness.,wanna put the bark on.,we're gonna have some chicken.,that's a doll.,I think he's in his bed.,how about a pizza party.,oh that's a good cat.,yeah it's fun.,and it's a big ball.,there's some dirt there.,that's a little bit of a mess.,so you know what we need.,we're gonna get this toilet seat in the air.,that's right.
a cat.,this is the house.,oh yeah.,this car.,see the cat.,it's a baby dog.,yeah.,and he's a bird.,oh I see.,see the cat.,"hey, hey.",a bird that's a bluebird.,I'm going to paint the wall.,that's a good one.,yeah.,they're big.,okay.,uh huh.,okay.,oh you're gonna have a baby.,what's this one.,I know.,let's see.,a house.,and we'll have a pool party.,okay.,the bear has the bear claws.,you're driving the car.
here's the cat.,look at the house.,and what else.,yeah we're gonna take the car to the shop.,that's a cat.,and we're going to take this little baby out of the cage and bring him into the house and let him see what we're going to do.,there's a bird.,what's that.,that's a truck.,there you go.,it's a bird.,what is a parrot.,yeah.,see that cat.,do you like the house.,that's right.,no no no no.,well I don't know what they are.,okay.,he doesn't know what you're doing.,no.,and they love to cook together.,you gotta be careful.,it's a room.,that's a good one.,this is a house.,he's a nice guy.,yeah.
that's a cat.,you're in the house.,oh yes.,right.,that's a cat.,we have a barking dog.,yeah bird.,bird.,yeah.,no we'll call it the kitty cat.,he's going to sit right down and watch you.,and what kind of bird.,yeah.,oh my.,oh that's interesting.,and we're gonna go find some new puppies.,the chicken and rice.,right.,and you go to the kitchen.,no I was just saying it was good for you.,so this is the cat.,she's gonna see them.,I'll see you later.,there's a table and a chair and a bed and a dresser and a closet.,okay.,we're gonna paint the house.,look at those.,what's that car's name.
here's a cat.,wanna go to the store.,I see.,wanna touch your foot.,"no, it's not a cat.",that's a dog.,where's the kitty.,yeah.,hey.,yeah.,here.,I'll help you take out the trash.,yeah I'm just gonna go up and get a pencil and a paper.,I'll see what I can get.,what's in the fridge.,you're doing it right.,we're not going to go in that.,I think that's a pigeon.,this is a dog.,he's a black and white cat.,you see those birds up there.,oh I see you got a kitten.,that's right.,a lot of furniture and people.,they're a bit different than they were.,yeah.,they have wheels.,oh.
no cat.,you're going to have a new sister.,that's right.,see a dog.,that's right.,oh that's a really nice big dog.,look at that cat.,okay.,you're gonna take the car to the house.,you gotta get out of here.,it's a robin.,did you see that picture of the little boy with the big blue eyes.,you'll want to put this in the back of the truck.,yeah.,okay.,we gotta get some for you.,you're right.,we're gonna see the birds today.,wow.,oh there goes the cat.,yeah.,you know what.,no he's not going to put it in the box.,and there's the kitchen.,oh that's a dog.,it's a little bit of a car.,do you like this car.,look at this picture.
look at the cat.,I'm gonna get some cookies for the family.,who made this.,let's play with the dog.,cat.,no.,you can see a cat.,you're right.,okay.,what do you wanna play with.,I'm going to be a bird.,okay now we're gonna go to the park.,oh.,what's that.,do you want some cookies.,oh you like the birds.,you're my friend.,you know what that bird is.,let's go to the dog park.,I'm sorry.,it's a woodpecker.,he's a little white cat.,they're all in the dollhouse.,there's a little pig in the house.,oh you're right.,you're right.,oh okay.,okay.
cat.,yeah.,no it's not a house.,the little doggy is so cute.,oh they're very quiet.,that's a nice big dog.,there's a cat on the floor.,what's the other name for Mommy.,it's a little house.,yeah.,you want to see the birds.,what's this.,I'm gonna go fix the sink.,so we have some cheese and crackers.,oh.,yeah I bet the bird's on the ground.,a cat.,do you have a bird on your bird book.,wanna take your dog for a walk.,oh that's right.,you have two ears and one mouth.,you want to play with the cat.,look.,that's my house.,oh I'll give him a piece of bread.,and they don't have no wheels.,oh.,do you want to go see the cats.
that's a cat.,you're right.,here's the doorbell.,that's a dog.,oh look at the cats.,he's playing with the dog.,come on in.,I'll come back to you later.,who's the one in the picture.,you can't have that.,he's on the roof.,where's the chicken.,yeah.,it's going to be a piece of cake.,hey.,and what is that.,and if they have a bad day they can't talk.,it's just a bird.,a dog is a funny kind of animal.,can you see a kitty.,oh that's a nice little bird.,oh.,and what do you think he's doing.,it's a little house.,right.,do you know what car is.,oh he's got a cool car.,right now.
you see that cat.,okay.,oh what's this.,can you say dog.,you say cat.,yeah yeah.,oh the cat.,there's one more.,oh I'm not sure what it is.,okay I'm going to put it away now.,can you see the bird.,right.,what's that.,you eat a lot.,you can draw a picture of a family with you and Dad and Mom.,there's a bird on that tree.,wanna go on a safari.,you know how to sing that song.,and then you put on your shoes and you go outside and you play with the dog.,this is my cat.,that's right.,what's this.,right.,that's your room.,that's a puppy.,I'm gonna put it on the roof.,you wanna see the car.,I think they're cows.
there's a cat.,she's my mother's sister.,look at the house.,and then the dog wags its tail.,there's a cat.,dog's on the floor.,you're like a cat.,and who's that.,well.,yes.,see the bird.,what's a dad.,okay.,yeah.,oh good.,here's a bird.,you know what he's got.,so then you can fly and see.,you'll put it on her back.,and that's a cat.,a bunny bird.,it's a girl.,a bear.,okay.,wow wow wow.,"okay, that's okay.",oh car.,and the little baby giraffe.
kitty kitty.,and mommy's mommy.,whoops.,hey.,what's this.,"oh, dog.",wow.,that's good.,oh look at all the light.,let's play with the blocks.,the little birdie is looking for the little bird.,who are the people.,can you put that there.,and it's just a piece of bread.,okay.,oh look at this.,the baby.,what's the name of the bird.,we're going to get some food.,what's that cat's name.,a birdie.,he's sleeping.,well he's just a toy.,yeah they're a really nice house.,he's a dog.,this car has been in the sun.,and the cars go.,right.
we got a cat.,who's that in the picture.,they're just little houses that go together to make one big house.,go get some.,here's your cat.,what's that.,what's this.,what's in the box.,they're very nice.,let's see.,what's that.,can you say mommy.,I'll get that for you.,well you can just eat your food and have the drinks.,oh I know.,hey.,it's a frog.,what do you think of the bird.,there's a dog in there.,oh the cat has the ball.,oh.,he's gonna be a big cat.,what kind of trucks do you have.,yeah.,she has a dog.,it's a little toy car.,we need to put the oil in.,you need to wear a coat.
hey little kitty.,this is your daddy.,there's a bathroom and there's a bedroom.,dog.,you know what.,okay.,that's a kitty.,what are you doing with your hands.,do you see this.,wow.,it's like it's in a cloud and it's like a cloud of smoke.,so the cows come back and the chickens go back and the dogs come back and the people come back.,okay.,"no, we're not eating your clothes.",so how about a couple of kittens.,yeah that's a bird.,they're in the water.,the robin is a bird.,she's a big girl.,do you have a cat.,I think this is a bird.,there's a cat in my room.,you're right.,oh look at that nice house.,you can do that.,you're very brave.,wow.,you're a monkey.
cat.,that's Mommy's cereal.,you've got a good house.,it's a dog.,cat.,and the dog's gonna have a big bark.,and then he'll go outside.,and she had some funny names.,okay.,and then you give it to me.,here's one.,you and mommy and daddy.,you can go into the bathroom.,what.,I'm glad that you're here.,hey.,he has two little legs and he can waddle.,what do you think the bird was thinking when it made that noise?,no.,you like the cat.,that's a little bird.,you know what.,look at the dog.,yeah.,that's right.,you can go up in the car.,see the wheels.,and the puppies that he had for a birthday present.
there's a cat.,where's mummy and daddy.,you're going to be a big baby.,you know what's on the other side.,that's a cat.,yeah the doggie goes to the vet.,what's that.,Mommy and Daddy are happy that you're having a good time.,it's the bedroom.,where is your.,you like the bird too.,it's all right.,do you know that house is called the big yellow house.,do you wanna make some pizza.,and then we'll have a nice big dinner with you too.,that's a robin.,yeah that's what.,see that little birdie.,oh my goodness.,it's just a cat.,okay so we'll go outside in the morning and you'll find the birds.,see that cat over there.,yeah.,where do you put your house key?,oh they're a little cute.,I think we need more wheels on that car.,car.,yeah.
go to sleep.,this is your brother.,they're very interesting.,look at the dog.,that's a cute cat.,see the dogs.,cats.,who was that little guy?,oh okay.,no you have two.,what's that bird.,he's a good boy.,we'll have to go get another one.,there's a tuna sandwich.,he's the only one in the world.,I think that's a bird.,the squirrel.,there's a bird.,wanna go see a puppy.,yeah.,yeah they eat.,do you remember that little ladybug that we found on the ceiling of the playroom.,where's that truck.,okay.,what are those things on their feet.,oh I see you have a car.,uh huh.,can I have that one.
kitty.,oh.,wow you know where the house is.,that's a dog.,kitty kitty.,hey come here.,let's see.,who's that.,this is a good house to live in.,I think she just found a new toy.,he's a nice bird.,right.,that's my room.,uh.,I can't find the key.,we could put that on the tree.,you know what he was.,a. they're in the trees.,yeah.,you wanna go get your cat and sit down.,you know.,you think he's okay.,and what would you say if you were a toy.,"it's all right, honey.",oh that's a dog.,oh.,there's a car on the road and a truck.,she's a little bit sad.
oh we have a cat.,you can't go to the bathroom.,the bed.,wanna give him a hug.,what's this?,dog.,oh.,hey hey you can see the birds.,do you see the lights.,this is a truck.,and birds have feathers.,okay.,you're gonna get me a sticker.,no we don't eat animals.,we're not supposed to leave your stuff outside.,and they fly over the clouds and it's really pretty.,and a giraffe.,here's a bird.,they're both really cute.,yeah.,what's that.,no.,and you can make a little ball with it.,do you have a house.,look at that dog.,it's a car.,and it goes on the ground and it's okay.,they were scared.
look at the cat.,what's this.,yeah.,come here.,oh no.,okay go and get the ball.,let's look at the cat.,I love you very much.,you can go back into the house.,oh that's okay.,oh bird bird bird.,it's my birthday.,where is the bedroom.,that's a yummy piece of cake.,she just got out of bed.,what's that.,a little duck.,oh I can't wait to go to the zoo.,you can't eat the bone you can't eat the bone.,he's a little boy.,oh that's right. that's a bird.,well you've got a lot of kitties.,and these are the other toys.,what do you say to the house.,it's the dog's face.,yeah I'll go and get the car.,what's this car thing.,it's a penguin.
look at that cat.,that's right.,here's your bed.,what's that.,you're gonna say kitty.,you're such a good boy.,this is a cat.,you have a brother.,we can take a walk through the house and then we can go play in the backyard.,where's the ball.,there's a little one there.,right.,that's the living room.,and then you get to eat it.,that's a good idea.,the hawk's tail was brown.,well he's a nice big guy.,he's a really nice little bird.,no.,he's a little kitten.,oh my gosh.,that's what a cat is.,oh yeah.,they're not my house.,right.,that's a car.,where's the car.,okay.
that's a cat.,yeah.,you put your head on the pillow.,the dog's a black and white dog.,good cat.,what's this.,yeah.,and grandma.,and then you can go outside to play.,can you hold this for me?,you can't see it.,okay.,and we got a nice big room up there where we keep all of our stuff.,you're gonna put the cereal on top.,right.,it's a blue jay.,it's a big brown dog.,oh that's a pigeon.,it's a dog and it's sitting on a chair.,oh that's a kitten.,and a robin.,a dog and a cat.,we can go over there and see what's there.,did you know that we have a big house.,well this is a little corgi.,you know how to drive a car.,you're going to be a good driver one day.,he's a boy.
that's right.,yeah.,yeah.,wow.,yeah.,oh look at that dog.,"oh, I think that's a cat.",and she's a friend.,where's the house.,what's in that.,it's a bird.,well you don't get out of bed so early do you.,oh that's a really nice house.,so I'm gonna get a drink.,what's that.,there are two birds.,see the little puppies.,oh you know.,and the dog.,that's the kitten.,that's a penguin.,she's going to sleep.,you're going to get toys.,we're going to clean the bathroom.,it's a bull dog.,and the air conditioner.,oh.,I'm going to turn off the tv.
yeah a cat.,oh my gosh.,where's the dog.,you gotta put it away.,you wanna say cat.,dog.,you see.,that's Daddy.,we're going to look at the house.,yeah.,a robin.,Mommy's going to make you some eggs for breakfast.,where's the dish.,you have a green one.,no no we don't.,there's a pink one.,I'm going to show you.,oh there's a hawk.,and they're just like a big dog.,you know what this is.,you should be able to get a pretty good bird to fly around.,you get to see him then.,and the other one is the other one.,what does it say?,yeah he's called that.,I'm gonna take my car out for a spin.,this is a car.,what is this.
look at the birdie.,I like your family.,that's a toy car.,hmm.,oatmeal.,look at this car.,that's a good baby.,that's a car.,yeah you can't get in.,a goat.,okay.,you put it in the fridge.,a robin.,okay.,and that's a robin.,I don't think there's a bird.,okay.,you have a big bowl of food.,it's not a frog.,car.,it's all in the sauce.,oh boy.,okay.,he's wearing a little bit of red and he's kind of in a yellow shirt.,okay.,that's the birdie.,hey.,you're right.
yeah.,okay.,what is this.,and your family.,no.,a car.,here's a frog.,yeah.,car.,they have legs.,and we can go outside and play.,oh we're out of cheese.,it's a baby bird.,who's the animal.,this one.,oh yeah.,they're not in a drawer.,and what is that.,that's a tiger.,no they're not.,you're not supposed to eat it.,see that.,wow.,and a cat.,oh that's good.,there's a bird in my tree.,wow.,what are you doing with the cat.
look at the bird.,Daddy's a doctor.,there's a ball.,come on let's go see them.,no we don't have those.,uh.,we'll go see the panda bear.,right.,you can sit in the car.,oh there's a little birdie.,and they're going to go upstairs.,we're not going to eat that.,a bird.,what do you think this is.,they're called turkeys.,see the bird.,it's a little thing with a bow.,yeah.,yeah.,you wanna go on the car ride.,I'm not going to eat that.,he's a very good boy.,do you think it's like a lion.,there's a cat.,what's that?,that's a hummingbird.,I like them.,you need to get ready for school.
bird.,I'm making a little family.,yeah.,you gotta watch out for grandpa.,you put some spice on that.,I'm not sure why that's there.,yeah.,yeah you can play with your car.,there's a car here.,where's that bear.,yeah that's the door.,okay.,it's a baby bird.,oh I don't think there's any more in there.,you have a birdie.,bird.,that's right.,where's the cookie.,we'll take him to the zoo.,and go fast.,the spoon.,what does your dog do.,we had a little cake.,you know what I mean.,here's some money.,that's a bird.,see the cat.,a kitty.
oh bird.,and then we all go to the beach and then I go to the pool and then we go to the beach again.,that's a ball.,who's that.,hey.,yeah.,right.,oh.,let's go to the car.,that's a dog.,and we'll have a place to live.,there's some bread.,he's a little birdie.,no.,this is a bird.,look at the bird.,you're going to have fun with them.,a chicken.,they're like kitty cats.,oh a car.,uhhuh.,and then the dogs come.,oh you need a kitty kitty kitty kitty kitty kitty kitty kitty kitty.,no it doesn't make any sense.,this is the house of the mouse.,it's a hawk.,well you know what.,where's the cat.
hey baby bird.,hey there.,here.,I'll take care of your shoes and socks.,that's what she was eating.,yeah.,and then we get them.,yes.,look at the car.,right.,okay honey I'm going to go.,okay here's the other plate.,there's a bird sitting on the tree.,oh.,there's a little bird in there.,look at the birds.,and you have a toy train.,yeah.,yeah.,what's this.,I mean like.,what's he doing.,oh no.,wow.,a chair.,that's the little one.,that's not a cat.,the kitty is sleeping.
bird.,and they love to see a baby.,let's play with the balls.,look.,they're gonna have a taco.,car.,it's a little duck.,you have a car.,look at the tires on the car.,see a bird.,the house is on the corner.,and then we'll see.,that's a seagull.,oh look at the rabbit.,oh what a bird.,the bird has got some feathers in its wing.,we're going to put it on the table.,oh yeah.,okay.,and we go to the car and we drive to the park and we play and have fun.,honey.,you wanna play with it.,right.,oh my gosh.,okay.,what's that one bird's name.,there's a cat in here.,oh yeah.
and bird.,do you remember our mommy and daddy.,you know what.,it's the family picture.,we're eating cereal.,car.,oh you want me to help you make a bed for the baby.,it's a car.,car.,what are you going to say.,a bedroom.,are you going to eat this.,oh.,they're in the desert.,what's that bird called.,you have to hold it on your hand.,here's your ball.,so you're trying to get your money's worth.,it's a dog.,yeah.,there's something funny going on.,and the dog is gonna take them home.,yeah.,we can put this in our pocket.,and if you want to sleep.,the birds are going to a special place.,there's a cat.,and then we'll take your cat to the vet.
the bird's flying.,what's that.,I can't see it.,it's dad.,it's not very good.,where's the car.,here we go.,you wanna see the car.,look at the tires on the car.,the lion.,okay.,okay.,yeah.,do you remember.,this is a bird.,what's that.,I mean the toys that are really hard to see.,yeah.,it's a tiger.,there's a car.,they're not very tasty.,oh yeah.,there's a black and white cat and a yellow dog.,oh that's a cat.,and then we go inside.,oh they have those.,hey.,that's a kitty.
here's a bird.,what's that.,what's this.,where is he.,that's the pizza.,you gotta park the car.,I see a duck.,we have a car.,let's drive the car.,you know what she's like.,I'm not gonna tell you.,that's right.,they eat bugs.,I bet they're not afraid of the bear.,hey hey hey hey.,oh I'm gonna give you a bird.,you know when you make a mess and you can't clean it up.,no you can't eat that.,what kind of animals.,you're gonna go out to the car.,you gonna eat them.,oh my goodness.,oh.,he's a cat.,and we're going to go in the car.,they're called robins.,a cat.,oh that's a cat.
there's a little bird.,you're not playing with that anymore.,wow.,where's the baby.,there's gonna be another.,you know what a car is.,that's a pig.,we got a lot of cars.,let's turn off the car.,and the rabbit hops.,you wanna go get some stuff for your house.,yep.,yeah.,the giraffe's got a long neck.,what are you saying.,well it's a little bit like that.,that's right.,yes.,what is it.,you go the other way.,I'm gonna make you some spaghetti for lunch.,can you see the dog in this picture?,you can have a little piece of bacon.,he's in the cat tree.,that's right.,you want the birdie.,that's a cat.,you're holding the cat up.
there's a bird outside.,we're going to visit my family at the lake.,yeah I know what it is.,"yeah, you're right.",the ketchup.,the car is going to be a red truck.,you wanna put the kitty on top of the piggy.,and a truck and an ambulance.,you're gonna drive this car.,you know what.,that's right you're a house.,what's that.,there's a red cardinal.,you see what we're gonna do.,this one's a duck.,what's that.,where did you put those things.,we can go to the zoo.,there's a little kitten.,well you can't drive that.,can we get out of here and go to the park.,he has a little bone on his head.,that's right that's right.,that's right that's what the cat looks like.,what do you think that's called?,a robin.,and the cat is sleeping on the bed.,it's a cat.
bird.,I love my family.,let's go see the toys.,what's the first thing you said today.,can you get it for me.,car.,look at the cat.,you need to say.,I'll go get the car keys.,I'm going to go.,and what is this.,nope.,they're flying in the air.,no.,he's not in his nest anymore.,wow.,okay.,you can go up there.,well what kind of animal is this.,oh that's right that's a bus.,and what does the giraffe eat.,you're not a dog.,you're right.,well there's a cat on the table.,they're both yellow.,I see a robin.,oh that's so cute.,there's a cat.
there's a bird on the window.,"that's right, Mommy's on the phone.",yeah.,you're a grandpa.,you got some carrots in your mouth.,you got a car.,right.,the car.,a car.,there's the cow.,what do you do with the mail?,it's green.,we're going to read a book.,so how do you feel about your sister.,a. a robin.,what's that.,I see.,yes we do.,that's a cow.,you want a car for your birthday party.,you can make a little stir fry.,you want to pet the dog.,yeah.,you're right.,they have one right there.,yeah.,oh you're going to make it a big mess.,and then they're in the cat house.
bird.,and we go.,you got it.,there.,you can't eat that.,it's a car.,what's that.,and we go to a car.,here.,there's a little dog over there.,she wants to see the house.,you're not going to eat it.,oh I think that bird is called a sparrow.,what do you say.,oh that's right.,and a bird.,right.,a little bit more of the rice.,hey that's a puppy.,yeah.,okay.,it's a puppy.,well that's a dog.,you're a cat.,he's gonna go over and clean the dishes.,we can look for them in the backyard.,it's a good kitty.,see the cat in there.
look at the bird.,that's mommy's house.,there's a bear in here.,hey buddy.,yogurt.,car.,wanna go on the carousel.,wow that's a cool car.,let's go to the car.,this one's gotta go.,okay let's go back to the house.,I know.,what are you doing.,oh that's very nice.,it's a gull.,they're a really big bird.,okay now we'll go get some more.,what's the word for the cereal.,and she has a long tail.,what are they driving.,I think so.,you're talking about a dog.,what animal is that.,oh they're not even cats.,we're gonna go and get our groceries at the store.,no it's a birdie.,a cat.,oh that's a nice kitty.
go up and down.,you're my little sister.,hey.,right.,you got some pears on the table.,and then it goes down.,right.,yes.,no.,he is a rabbit.,oh no he did.,no.,that's a robin.,we'll go with the wolf.,a hawk.,yeah that's right.,that's a funny hat.,okay.,I think it's a little scary.,you put the seat back.,no.,oh he's sleeping.,that's right.,there's a cat there.,this is a toy house.,that's a chickadee.,well.,oh no it's a cat.
look at that bird.,and Daddy.,yeah.,who's that little boy over there.,that's a funny hat.,it goes on the road.,what's this one.,can you say car.,and go.,and the baby cow.,that's a bed.,they're gonna have some.,he's not very tall.,he's a red fox.,do you see a bird on the table?,there's a bird in the nest.,a bicycle.,uhhuh.,what are they doing.,and there's a car.,I'll give you the strawberries.,he's going to eat that.,what did you say.,okay.,okay.,here's a chick.,you have a nice kitty.,it's a cute kitty.
look at that little birdie.,okay.,and we'll put it back on the toy box.,see that.,cheese.,let's go for a drive.,are there any animals in the zoo.,is this your car.,yeah you know when they're going in the car and they're like oh we don't want to sit in the car.,here's your cup.,what's that.,what did she make for lunch.,and the beak.,the pig.,you can see birds and squirrels on the tree.,a bird.,that's right.,I'm going to take it out.,okay.,car.,that's right.,yeah I can see the dog.,no.,you can put the bowls on the table.,do you think we should do the same thing in the house.,you know what's a funny thing about birds.,the cat is very tired.,there's a cat.
