3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
he's got a little blue bird.,oh look a bird.,they're toys.,it's a hawk.,that's a penguin.,you want some more.,right.,are we going to put some music on.,that's right.,I'm going to open the box.,do you want to put them away.,that's right.,you can put a potted plant in the window.,oh you're right.,yeah it's a little boy.,here's one.,can you put it in the fridge.,see that big orange cat.,look.,see the car.,that's the cat.,this one's a red one.,oh those are the same ones you got last year.,that's the toilet.,oh we have some bananas.,do you want to play with a truck.,oh look a cat.,you don't want to touch that.
look at that bird.,little bird.,oh.,look at the bird.,wanna put the bird back in the book.,can you show me the dinosaur.,oh.,oh that's not a good way to get rid of a crayon.,we're gonna go and see.,do you remember the kitty.,what kind of cars.,wanna see the dog.,I think that's a chair.,no.,so there's a kitty and a baby.,there's a rabbit in there.,so how about you eat the rest.,he's gonna sit on the bed and play with the ball.,there's another one.,you wanna get in there.,it's a cat.,what.,that's a toy truck.,yeah it's not.,what.,you're playing with a train.,it's kind of like a house cat.,okay so the next step is we're gonna go ahead and put the water in the saucepan.
that's a bird.,yeah.,that's a truck.,what's that.,and a duck.,you're gonna put them back on the box.,what's that.,that's right.,do you see your mom.,and there's a truck.,that's right.,and then the dog runs to you.,oh you're on the porch.,where are they.,it's a very big cat.,okay what's this.,yeah.,you have a big cat.,okay.,what's this.,you can do that.,oh look what we have here.,here's one and there's another one.,oh I see.,and I'm going to give you a little taste of this.,here's a ball.,he has a tail.,okay.
it's a little birdie.,there's a bird.,see the bear.,and they have wings.,see the blue sky.,this is a ball.,oh it's a giraffe.,where's your brother.,and you get to bring your family to the park.,you're gonna get a new one.,I'll get them in a minute.,oh my gosh that's a funny dog.,and then she can open it.,who's the oldest.,she's a kitty kitty kitty.,yes.,and we got the hamburger buns and the cheese and the chicken and the lettuce and the tomato.,that's right.,I don't know what it is.,do you have a car.,she doesn't wanna go out.,oh my gosh.,that's a very old teddy bear.,it's a really nice house and we live in it.,we got some new chocolate.,and the truck is a big truck.,oh.,do you want some more.
bird.,what bird is that.,this is a toy car.,we're going to get one.,wanna sit down.,he has a box.,okay.,okay.,what's your mommy's name.,okay.,a baby.,do you wanna put that on the bed.,oh what's that.,that's a nice shirt.,there's a cat.,do you like the pig.,okay.,he's trying to get your attention.,where's that one.,oh look at the car.,and the cat is very cute and she's very pretty.,let's play with the cars.,okay now let's go through and see what's in the cupboard.,oh my gosh.,"no, no.",okay.,oh.,right.
and the bird is flying.,what is that.,can you pick it up.,that's a bird.,you can't see him.,what is this?,a moose.,yeah you're right.,oh we are going to have a party.,wanna play with this.,can you put that in your pocket.,look at the dog.,that's the table.,who is he.,oh.,and that's a bull.,yes I see.,yeah.,and this is the red and blue one.,and that's a car.,cats are really fun.,a dinosaur.,oh.,you don't want to touch that.,right.,this is for the car.,that's a kitty.,he was at the bakery.
you want a bird.,hey look at the little birdie.,there you go.,there's a bird on the fence.,yeah.,we don't need it.,what is that.,so I'm sorry that you were sick.,the.,wow.,you got a green truck.,no it's not a dog.,oh the house is so nice and pretty.,and he's gonna bring some books for him.,so that's the cat.,and the pigs and the horses.,it's a cereal.,that's right.,see.,okay.,oh that's so sad.,right.,we'll take turns.,it's a door.,what do we have in the fridge.,we're gonna play with it.,yeah the cat.,do you want a glass of milk.
look at that little birdie.,there's a bird.,you're gonna be a doctor.,a duck.,what's that.,yeah.,the cat is in the bathtub.,he's the one that you say we need to go to.,I know I can't say it because he doesn't say it.,where's the bear.,the red cape is in the closet.,oh look at the dogs.,and there's another house right there.,and the car went to the gas station.,cats.,well it's a duck.,they're just tiny.,what's that cat doing.,there's another train.,go get some.,here's a kitty.,okay.,here's your stuffed toy.,do you know what it's called.,yummy.,this is a little kitty cat and that's a little kitty cat.,I'm a cat.,you can make it with a fork.
bird.,look at that bird.,what's that.,bird.,birdie.,uhhuh.,what's that.,and what's that.,okay let's see if we can find the right one.,put them back on.,right.,do you know what we have on our hands?,oh you did not put the dish in the dishwasher.,I love you.,he's a little cat.,this is a little bear.,I'm going to put this on the stove.,and cats eat cat food.,and it's really funny.,I'm gonna put the car away.,oh that's a nice cat.,yeah you're going to have to have some room.,right.,we're going to clean up the house.,and he's eating a sandwich.,oh you want to take it back to the playground.,it's a cat.,what's it called.
here's a bird.,that's a bird.,they're in your room.,a bird.,look at that birdie.,here we go.,yeah that's right.,you can put them in the garbage.,you want to get it out of the way.,there's a little green fish there.,oh look.,they're barking.,hey baby.,who is this little boy.,oh where's the cat.,oh yeah.,what do you think.,we'll have to get a carrier.,well maybe it's for you to put them back in their box.,let's go.,a cat.,what's this?,yes.,you know you're going to put it on the chair.,do you like to eat the sandwich.,yeah you can take them back.,yeah I mean it's a cat.,the pineapple.
bird.,there's a bird in the sky.,can you say ball.,there's a bird there.,what is that bird.,that's a ducky.,oh look what a nice pig.,I'm not sure.,yes.,I see.,where's the toy.,where's the dog.,I'll go to the kitchen and get you something to drink.,I don't know who that is.,and the kitty cat was a baby kitty cat.,okay.,I think they're a lot better than they used to be.,I don't think the cat is playing with it.,okay.,oh.,he's just a little kid.,oh I can see some of your toys.,okay.,where's the car.,I'm going to go look for you.,and I guess it's your turn to make up some stories about them.,there's a cat in the window.,okay.
and a bird.,look at the bird.,do you wanna play with this.,look at the bird.,that's a chick.,and you know what.,look at the big cow.,there's a book.,he's got a little brother.,and he's sitting on his seat.,here we go.,oh we got a puppy.,you need to clean the floors.,we'll get some food.,the kitty's not a cat.,we'll take the horse.,I'm going to take a bite of your cookie.,and what's this one doing.,yeah.,he's going to fix the car.,I wonder if it's a cat or a kitty.,what do you think of it.,oh.,oh there's a house.,this is a cereal bar.,yeah.,it's okay.,a little bit of water.
we gotta get a book about birds.,bird.,a ball.,what's that.,this is a bird.,can you find the crayons.,and there's a cow.,hey.,the cat said to the dog.,what's that.,yeah.,and you want to do what with the doggie.,hey.,and then you can give the gift to him.,oh the cats like to play with this.,oh.,no.,it's a cat.,we'll go see if we can get them.,they're going to take a little nap.,what kind of animal is that.,you're doing great.,that's right.,we're going to the bathroom.,I gotta wash it before I eat it.,this one has a car.,there's a cat in the house.,she's got her eyes on that bowl.
wow.,that's a penguin.,who's got the ball.,bird.,and birds.,oh look.,no.,you can draw a picture of it.,the people who live in your family.,this is a car.,there's the yellow car.,this is a dog.,they are there.,oh yeah.,what's that.,where's the rabbit.,that's a great idea.,a big black cat.,you put it on the floor.,and then they're going to turn around and drive.,that's a cat.,oh that's okay.,and it's got like a little piggy tail on the end of it.,and the garage.,what did she have for breakfast.,that's the little man.,oh.,and he's eating some chocolate ice cream.
little birdie.,he's a robin.,this is a train.,you've got a birdie.,there's a bird on the bird feeder.,where is the ball.,and it's like a piggy bank.,he's got a new job.,you can't have more than two.,I'm gonna go over there and play with them.,are they.,there.,okay.,so what's in the living room.,that's a cat.,you want to go out and play with the dog.,uhhuh.,and they're cats.,this one has a stomach.,yeah they have some.,that's a kitty cat.,wow.,we have a toy truck and a car and a doll.,that's the light.,that's right.,you're gonna have to use the other one.,hey.,yeah.
it's a bird.,look.,yeah.,bird.,it's a bird.,uhhuh.,who has it.,and that's a good idea.,they have a dog.,he's so soft.,you got the green one.,oh what's that.,I'm going to the house to look for the shoes.,he's a big brother.,a cat.,can you hold them for me.,and you know what you want for breakfast.,they're called.,yeah it's all good.,yeah.,I'm not sure.,I'm so happy you're here.,here we go.,"hey, let's go see if we can find the duster.",you don't have any food.,okay.,it's a cat.,okay.
let's look at that car.,you wanna have some more.,it's a cat.,oh.,no no no no.,bird.,right.,let's look at that.,right.,no.,and we gotta take care of it.,are you gonna eat the whole thing.,we're going to get a bag of chips and we're going to get some snacks.,and a car.,I'll put that away for you.,well here's some chicken.,there's a dog in the house.,and then he'll have to get on a plane.,"oh wow, what a pretty cat.",you know what? it's called a birdie.,he's gonna be a great dog.,hmm.,it's a train set.,well you know what.,oh they're in the back.,you can get to the other side.,oh they look like kittens.,and mommy.
wow it's really fast.,peanut butter and jelly.,that's a cat.,they are both cute.,there's a squirrel and there's a bird.,do you see the little birdie.,yes.,no.,yes.,yes you're right.,they're like that.,the fish.,do you want some more crackers.,I'm sorry.,and this is the front.,yes.,I think we have a new one.,and we're going to go see a movie.,see a cat.,what's that.,oh it's a little girl dog.,I'm not gonna eat any more.,the ball is red and it's a ball.,he's driving his car.,that's not a car.,yeah.,well it's a little bit more complicated than that.,I'm glad you're happy.
"yeah, we gotta get that back.",yum.,look at the cat.,do you like animals.,that's a rabbit.,the birdie's sitting on a branch.,here's a book.,you get me one.,where's the car.,she's a baby.,here's a bird.,we have cheese and crackers.,yeah.,that's right.,that's a nice car.,yeah.,a little bit of red paint.,oh yeah.,he's the cat.,a bird.,and they're going to be in a cage and they're going to have fun.,you see that.,there.,that's a car.,and we'll go on the road.,oh I see.,this is the cat.,oh.
uh oh.,I'm going to give you some banana.,and he's a cat.,look at the little bunny.,wow.,oh no you broke the bird.,this is my crayons.,I mean this.,that's a ball.,she's gonna come.,you know.,oh you're just making a little noise.,you want to take a little bit of cereal.,uh-huh.,you're gonna have to turn the corner.,what is this.,oh.,you're not gonna eat it.,hm.,I don't think I have any of those.,yeah.,I don't like it when you sit down and eat my food.,hm.,you know we take the car to work.,can you help me push this car.,look at that.,she's not here.,oh I'll ask her.
what do we say.,whoa.,look.,the duckies were in the pond.,yeah.,look at the bird.,what's this.,well he's going to help you.,look at all the blocks.,I'll take your coat and bag.,you know that's a big bird.,I'm gonna make a salad and some soup.,no.,there's the car in the back.,this is a car.,I'm sorry.,yes.,yeah.,okay.,well you're very loud.,and he's just a little bit bigger.,did we get to eat the pancakes or did we have to wait.,yeah.,it's a car.,oh that's a nice car.,it's not a dog.,and you can use it to play with your cat.,there's no more room for me in your backpack.
look at the car.,the beans.,and then you'll get a kitty.,look at the bunny.,oh I can't do that.,yeah.,you know.,oh yeah.,oh yeah.,oh he's a good one.,we're gonna see a bird.,so they're on the plate.,the butter in the butter dish.,yeah.,where did you see the car.,uhhuh.,can you put the laundry basket away.,and now he's going to take him out and we're going to take him for a walk.,so we have a cat.,they fly around in the sky and they have a lot of feathers.,where is it.,this is a toy.,what's that.,what kind of car is that.,uhhuh.,yeah they are.,this cat is in a tree.,Mommy's gonna get a new wig.
yeah.,and they eat that.,look at the kitty.,what's that.,oh.,there's a bird.,whoa.,we need to put the trash out.,I think she's going to have a little fun.,no.,a robin.,he said.,well there's no sugar there.,you can say it and I'll put it on.,oh yeah.,the muffins are nice.,that's a house.,and then you go get a drink.,oh it's a kitty.,yeah he's a seagull.,oh this is a dog.,I'll get you some more.,we're gonna put them in the box.,and we're going to get a car.,I mean you have a car.,and that's a deer.,he's a cat.,well it's like a big circle.
there's a car.,there's some bread.,look at the kitty.,kittens.,let's get another bear.,and that's the bird.,you put them in there.,yeah you know what that's called that's the refrigerator.,here.,who is your mommy.,there's a bird on a tree.,it's green.,and it's delicious.,wanna see the car.,what's this.,you know what I'm saying.,can you say house.,"I'm sorry, we're not supposed to bring our dogs to your house.",yeah.,and it's going to go all the way down and then it's going to come back up and then it's going to come back down and then it's going to go all the way up.,you can give it a little nudge.,this is not a cookie.,can I have a ball please.,you don't like it.,oh.,and then we have a little mouse.,a kitty and a kitty.,oh okay.
come here baby.,what's this.,oh my gosh.,nope.,you can't see them but I can hear them.,that's a robin.,oh it's all right.,that's a nice house.,there's a little car.,who's that.,that's a parakeet.,this is a nice toy.,what's this one called.,and the car goes like this.,we're gonna go get a car.,we don't really need the other ones.,we don't need to put a blanket on the bed because it's warm in here.,oh.,okay.,you know what a bird looks like.,where's your dog.,I'm not sure why she's so upset.,you're gonna have to go back and do it again.,and it can go really fast.,wanna see it.,this is a fish.,we gotta put a blanket in the basket.,okay.
you wanna go.,we're gonna have some cheese.,come here.,the pig.,yes.,that's a cardinal.,this one is a ball.,and you'll make a fire.,oh my gosh.,yeah.,that's a birdie.,and we're going to cook it and put it in the oven and cook it and make it tasty.,do you remember what we had for breakfast.,you can see the wheels.,that's a truck.,no.,they don't like that much.,I'm not sure about that.,see the cat.,that's a hawk.,they're all dogs.,and the yogurt is the yogurt.,this is a toy truck.,where did you put the car.,okay you can't play with that.,the rabbit is very cute.,you want a kitty and a puppy.,"no, this is a family of penguins."
come on baby.,yes.,look at that.,he's a good boy.,what's that.,he's flying over the tree.,no no no no no.,look at the house.,"can you say ""papa.""",right.,and then the bird was sitting on the fence.,so you don't wanna eat.,yeah.,and the car comes down and they're driving.,see the car go by.,I'm sorry.,this is a big house.,okay.,so.,that's a red bird.,wanna go to the dog park.,so he can make the bun.,no.,you wanna go for a ride in the car.,the car goes like this.,and that was a very large cat.,so what happened.,oh yeah.
oh.,you're a good baby.,that's right.,and cows have four legs.,let's see.,what's that.,here we go.,here's where we keep the bath towels and the clean laundry.,we got to go outside.,you think so.,what kind of bird is that.,he's got a lot of yogurt.,yeah.,they're in the car.,uhhuh.,yeah.,and we can have fun and play together.,that's it.,they got a litter box.,well that's one of the baby birds.,what's that one called.,honey.,okay.,that's a car.,you can turn it on and turn it off.,and you can tell what animal that is.,the cat.,okay.
okay.,uhhuh.,it's a cute cat.,this is a cow.,look at the bunnies.,what is that.,you like to go in.,you can't have a bath and read at the same time.,wanna play with them.,I like to see Daddy's face when he's in a bad mood.,oh bird.,and some yogurt.,I can't believe you're actually eating that.,wow.,what's that.,what do you think they're called?,okay let's clean it up.,it's in your house and you know where it is.,okay.,we'll look at the birds.,you can tell it what to do.,I think you should take a nap.,I have a doll.,there are different kinds of cars.,a car.,yeah that's right.,that's right.,you're gonna see a lot of pictures.
okay.,it's good.,come here.,what's that.,you see that duck is on the water.,you see a birdie.,put the block on.,and then they're ready to go.,and this one's a toy car.,I'm sorry.,do you see that bird.,where's the cereal.,I'll make you some soup.,oh.,oh my goodness.,that's not in the fridge.,and we're gonna see what we can do.,no.,cats.,what's that.,look at the dog.,I think you just put the chicken in the microwave.,and that's the doll.,and it goes.,they're going to make you a car.,and then it will go back up again.,there's a little cat in there.,you're right.
here's the car.,yeah.,you're talking about the kitty.,this is a baby goat.,a frog.,wow.,look at the ball.,you can't go in the bathroom.,where's your blue ball.,oh.,you can't see them.,it's like a sandwich.,do you remember what it was that you had for breakfast this morning.,we go to the car wash.,I think you might have heard this one.,no they're not in the cart.,and you can also see some things that are a little bit dirty.,it's a big family.,it's just a cat.,that's a hawk.,this is a doggie.,we're going to the supermarket.,you got a toy train set.,and the car is blue.,let's go get the car.,wow.,oh okay.,you're talking about your uncle and aunt.
you wanna take it for a ride.,okay.,I'm thinking about a cat.,right.,bunnies are cute.,bird.,oh.,the house.,well what's that.,I'm going to read you some more stories.,a penguin.,it's called a hotdog.,you wanna get some of that.,okay.,you know what.,that's a good idea.,okay.,can I sit up on your lap.,oh the cat likes to eat the cat.,bird.,he's a dog.,you see a lady and she's holding a tray with a lot of food.,and then there was a toy car and a toy plane.,that's right.,hey.,where did we see this guy.,oh.,oh my goodness I don't know if that's what they're doing.
you wanna go for a ride in the car.,cheese and crackers.,a cat.,bunnies.,right here.,look at the bird.,what.,that's a window.,where's your little bear.,you can have some more.,you're gonna have to watch out.,oh no they're gone.,what's that.,let's make a car.,oh my car's not working.,no.,and then she gets a little older.,I think it's just going to take a little bit of practice to get it right.,look at the kitty.,what's a robin.,do you see the little brown dog.,you know that's a big bowl.,what's that.,what's that.,I mean you could be sitting in a car and if you're really careful and you have your seat belt on you're going to be just fine.,okay.,a cat.,oh that's right.
let's look at the car.,that's a good idea.,see the cat.,what is it.,what's the name of that one.,you know what's in the bird's nest.,a doll.,what did he say.,right.,who's the mom.,that's a hawk.,the cheese is melting.,well that's good.,yeah you can put it on top.,there's a little car in there.,okay here you go.,I'm sorry.,and daddy and mommy and sister.,here you go.,oh what kind of bird.,that's right.,that's right that's right.,you know how to open this.,oh.,"oh, that's a nice car.",what.,oh that's a cat.,yeah he's going to go to bed.
