3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
where's the duck.,car.,okay.,wanna hear a cat say.,where's the bear.,there's a car there.,you gotta get a cow and you've gotta get a pig.,yeah.,are they still in your pocket.,it's a funny name.,there's a little one.,we gotta go back to the truck and go get some more toys.,she's not so bad.,I mean there's all kinds of food.,this is a spoon.,yeah.,well they're not very clean they're not very nice.,a parakeet.,you know what.,you've got the lion in your ear and the bear in your nose and the monkey in your mouth.,you don't have a dog.,yeah.,I'll help you find the toys.,they're not working.,what kind of food do you eat.,a cat.,that car's got a horn.,and then it was very noisy.
what do you see.,look at the car.,where's the cheese.,hey.,yeah.,what's that.,what's that.,okay.,and.,nope.,can you make it into a picture book.,you know what.,wanna draw.,it's a really good one.,yeah.,it's not for you.,yeah.,we're going to see what birds are out there.,what's this.,there's a pig.,what kind of dog.,no.,oh my goodness.,and we put on a seatbelt.,I think it's a cheese sandwich.,you see those little black spots on her.,and that's a car.,and a lion.
there's a truck.,we have a car.,yeah that's right.,you can't eat cat.,oh.,where's the truck.,I'll make sure we don't hurt the turtle.,you know.,you can try to find a different toy to play with.,okay.,do you want a cat.,oh there's a little toy in there.,oh look at that cat.,can I help you with anything.,so you can eat some of that.,I'm gonna fix you up.,they have a tummy.,he's sitting.,here.,it's the bunny that I want.,hey.,he's got a little hood.,you know what you're gonna need to do.,and the car has four wheels.,I don't know where the other one is.,he wants to play with it.,a car.,I think the lion would like the fish.
what's in there.,let's go for a ride.,what do you want.,you wanna look at the cat.,what's that.,see.,this is a panda.,and they're called cars.,yes.,you can eat the apple.,do you like cats.,right.,we need to get another one.,do you like to eat your veggies.,that's not what we're having for dinner.,what's that.,wow.,there's a baby bird in the nest.,there's a little girl on the doll.,where are you going.,what's a dog.,can we go for a drive.,okay.,is the tire.,uhhuh.,I think he's tired.,you know how I said we're going to go on a car trip.,so when you see a pig.
they're just your toys.,that's a car.,what is that.,look at this cat.,here you go.,a car.,this one.,car.,I think this one goes in the back.,you put it on the plate.,she's not a kitty cat.,wow.,oh.,okay.,they're.,oh.,you have a cat.,"oh, they're just eating and the babies are sleeping and the baby's just playing.",what.,okay.,oh yeah.,do you wanna go see the car.,and she has a brother too.,you're going to go to the car.,yes.,yeah.,what's that car called.,and we're going to the beach.
that's a car.,look at that car.,we gotta get some of the milk.,that's the cat.,here's a ball.,you want to go for a ride in the car.,we got a tiger.,I'm gonna take the car to work today.,what's that.,no.,you wanna put him in.,where's the ball.,what's that.,how about a couple of pieces of fruit.,the green beans and corn.,he's a vegetarian.,we'll give them some water and they'll be good.,oh.,oh look at this.,what's that one called.,I'm sorry.,oh that's a little one.,well they're all together in the house.,oh there's a car.,and a little bit of butter.,oh you got the cat.,that's a car.,there's a rabbit.
okay.,I'm gonna get in the car.,let's get some more.,wow.,there's a red one.,wow.,okay.,and you put it in the car.,I'll put those in the box.,uh huh.,we can put a new cushion on that chair.,what did you say.,he's a cat.,and they go in your mouth.,and a cup of water.,you're just not going to eat that.,oh yeah I can see that.,the bird is flying around.,okay.,a baby goat.,and he has a tail.,well.,can you say mommy.,oh.,how do you think we're going to get the water out of the box.,this one's a big cat.,no.,and then you can go eat it.
yeah.,there's a car.,okay.,you've got a pretty kitty.,okay we'll just put them in the bin.,yeah.,what is that.,that's a car.,what's that.,okay.,I'll be back in a minute.,and it's a toy.,that's a kitty.,you don't want that.,that's a peanut.,I see.,we'll take care of that one.,you're a bird.,he's a monster.,this is what a horse looks like.,that's right.,that's a car.,yeah.,hey car.,it's a peanut butter and jelly sandwich.,oh.,that's right that's a car.,oh.
okay.,oh that's a car.,we'll do a snack now.,okay.,are you playing with this one.,let's go and see if we can find a car.,this is a pig.,and the cars go by.,right here.,that's it.,well here's a little cat.,oh.,a cat.,there's a baby and a bunny.,yes.,and they're not real.,look at this cat.,they're all sleeping.,this is my toy car.,where's the rabbit.,that's a big dog.,yeah we've got a car and it's very special and it's a special car and we have a special car.,my mommy has a tattoo of a bird.,oh.,that's right.,oh the kitty is sitting in the chair.,let's go inside and go to the car.,you need to put the tape down.
"yes, it's a bouncing ball.",we're going to have a car ride.,I see that.,look at that.,I see you're playing with your car.,go car.,yes.,and we'll have to get a new car.,you can put them back in the box.,oh no what happened.,you know what the cat wants to do.,I'm gonna play with the blocks.,see that's a cat.,it's the last piece.,you can eat that.,we're gonna make some corn bread.,see the cute little kitty.,and it's on the ground.,"no, it's a little car.",do you have a dog.,and there's a dog.,do you know what a car is.,oh they're right here.,and they go everywhere.,I'm sorry.,yeah.,let's go take a look at this car.,okay.
here.,that's a car.,okay.,that's a cat.,I think it's the same one.,it's a car.,yeah.,oh what a car.,you gotta take it off.,what do you do with the beans.,oh look what the cat's up to.,right here.,what's the cat doing.,the milk that is going on the milk that is going on the cheese that is going on the milk that is going on the cheese that is going on the cheese.,we'll eat something that's really good.,a piece of pie.,you're very right.,and it's a red bird.,no that's not a toy that's a car.,this is a squirrel.,you know.,oh that's your car.,oh you don't have to say that.,I'm driving the car.,oh they were just gone.,can you say cat.,yeah.,right.
you have a bird.,"yeah, we go to the car.",we'll go to the car.,let's look at the house.,oh we're getting more.,that's grandma.,yeah you wanna sit in the chair.,a bird.,what's this.,hey let's take a look at the picture.,we'll have some cookies for dessert.,here's a cat.,they're two.,hey baby.,yeah.,you're going to throw that in the air and catch it.,there's one sitting on a branch.,okay.,we're going to go to the car dealer.,that's a cow.,and then he said what was it.,and then they had their own house and they had a son.,so there's mommy and daddy.,a hawk.,yes.,and it has butter.,okay.,do you like animals.
bird.,car.,oh look at the car.,yeah.,can you tell me what the truck says.,there's a baby.,yeah.,look at the bird on the branch.,you can't eat the car.,what's this.,what's that.,yeah.,what's the name of the big house.,you can see a cat.,and that's a car.,and we're gonna put it in here.,you see that bird.,it's a car.,right.,wow what a big cow.,well this is a crayon box and a box of crayons and a pen and then there's another one of markers.,I am your father.,"so maybe if you don't take them out, they'll grow up.",yeah.,you're going to put the truck down there.,I'm gonna put them in the blender and make a smoothie.,you have a drink.,and they got out of the boat and swam down the river and then they walked to the zoo and then they went home.
look at the bird.,it's a red car.,okay.,come on.,ball.,she's at the dentist.,the cat.,what's a bird.,he's a little bit too old for this toy.,and you know how many legs a frog has.,there's a little bowl of water and a little bowl of butter.,see you have a lot of cats.,there's no way to find out.,wanna take your cat out.,you're gonna drive the car.,this is your tray.,he's a little birdie.,and then you push it with the button.,we'll go on the car.,oh here's one of them.,oh my gosh.,you're right.,did you say the other guy in the story had a dog.,they are like you.,you know what.,yeah.,what's that.,you're right.
what a bird.,yeah.,oh it's a car.,and this is a house.,it's a cow.,you got a big brother and a big sister.,yeah.,hey birdie.,where's the yellow one.,oh a lion.,and the bunny rabbit.,there's a cat.,wanna have a bath.,that's right.,a car.,no.,he's a bird.,you can't take it out.,okay.,it's a hare.,you need to put them back.,we have an extra chair.,I think so.,oh you got a duck.,okay now you can see the house.,and there's two types of pears.,and the green stuff is the peas.,nope nope nope nope nope nope nope nope.
he's got a red beak.,car.,it's a car.,you're making it look so pretty.,no I can't do it.,yeah.,she's a good cat.,yeah.,yeah you wanna try.,where's the giraffe.,oh that's the last one.,here.,do you wanna put the books back on the shelf.,can you say dog and cat.,well what's a car.,look at all the stuff.,you can't get a bird.,that's a little car that was in a movie.,see the car.,oh that's cute.,so I can't give you a name.,they're like little hamburgers on a bun.,you and daddy and mommy are going to be together forever.,what's a chicken's name.,and this is a chair.,they're both chicken nuggets.,that's not a very good idea.,you get to make up the names.
and birds fly.,you want a car.,look at the car.,come see the kitchen.,a toy.,what's that.,and this is a cat.,he's a very big bird.,no.,look at the birds.,uh huh.,what's the name of this cat.,they're going to be the stars of the show.,you know what we're gonna do today.,okay.,yeah.,that's a woodpecker.,it's on fire.,oh my car.,and it's kind of a big one.,yeah.,huh.,I know.,a baby bird.,oh.,a little bit of butter.,you know when we're gonna eat.,and there's a horse.
what's that bird.,oh look.,wow.,who's who's in there.,and you want to take it to the car.,right.,okay let's see the kitty.,bird.,you can pick it up.,that's a dog.,you're making some great choices.,yeah they have their own house and they're in their own house and we have to go through them.,what are you doing.,there.,and he's going to go to the car.,who's your favorite one.,you know what you should do.,and they make cars.,see.,yes.,the ball is for you to throw.,okay.,okay.,oh look at that bird.,I'm sorry.,a little bit of cheese on top of that.,no but we're gonna get some tomorrow.,we're going to see some pretty colors and you can play.
that's a bird.,car.,you're gonna go.,do you see the doggie and the bunny.,can you get it.,oh that's Mommy's and Daddy's.,do you want to see the cat.,that's a robin.,you can't.,it's a frog.,I'm going to go get you some lunch.,hey what's that.,it's just a door.,that's right.,yes.,here's the red ball.,and it's called a hawk.,where do they go.,you know you're in the car.,they're pretty.,oh there's a lot of toys here.,that's a big old table.,"oh, who's that.",there are lots of birds.,okay.,so it doesn't look like a piece of meat.,that's a nice plate.,and there's a little rabbit and he's jumping around and he's jumping up and down.
little bird.,car.,car.,oh look at the lights.,you've got all your toys.,oh let's see what's in here.,the cat has a tail.,a baby bird.,you have a big ball.,where's the cat.,that's a nice apple.,see this.,that's what they do at the house.,you can get your own cat one day.,you wanna put it back on.,what do you think it is.,what kind of bird is that.,and what else can a car do.,that's right.,what did you do to your hands.,oh I love the bear.,right.,no.,a gander.,you wanna go outside.,there's a bunch of vegetables on the plate.,what's that.,do you think there are any penguins in the jungle.
bird.,car.,wow.,yeah.,do you know what these are called.,you and daddy and you and mommy.,oh there's a kitty.,oh.,the.,and then you can take a picture of them.,and we're going to see if they're not already in the oven.,and they're sleeping and they're dreaming.,you're going to make it pretty.,oh.,that's what I said.,yes.,that's a little duck.,can you see the car.,you got a car.,yeah.,you wanna see a penguin.,how many sisters do you have.,you know.,birdie.,and we'll go get some bread and get some butter and make some toast.,and then we'll get to the main course.,yes.,this is a giraffe.
oh bird.,go to the car.,here's the car.,where's that.,let's see if it works.,you know how to give a hug.,oh look.,bird.,okay.,what does the dog do.,you'll get them.,that's a really big cat.,it's a pile of paper.,can you say cat.,see the wheels.,we're going to play with the trains now.,oh what's that.,well I'll get my helmet and we can go outside and ride.,okay.,a dog.,that's right.,they like to dance and sing.,you wanna get your stuff.,hey.,the doorbell.,no I don't.,we're gonna make some rice.,you get a cuddle out of them.
bird.,come on.,yeah you can drive the car.,yeah.,and these ones.,yeah she likes to play with you.,cats have a litter of kittens.,a hawk.,oh yeah.,a pig.,what else is on that.,and the cat.,okay.,okay.,what is that.,and then there's the stuffed animals.,you know how you love to sing.,well.,yeah.,you can't eat the baby duck.,see there's a truck.,I love you.,okay.,it's a hawk.,where do you live.,I think you're gonna like it.,huh.,he's a red fox.
here's the bird.,I like cars.,oh.,go get it.,there's a baby bunny with a stroller.,oh that's the baby.,we're not going to have a cat.,a little birdie.,can you put your hands together like this.,do you see a monkey.,you'll be a great cook.,there you go.,here's a new house.,you see this is a big cat.,you're a good little driver.,well.,that's right.,I'm not quite sure what you're talking about.,where's the car.,and there's a black one and a yellow one.,what's that.,we're gonna get her a new purse.,okay we're gonna start the first one.,there's a bird there.,you want to play in the bathroom.,yeah.,honey.,see it's so big.
bird.,let's go to the car.,yes that's a car.,can you open this door?,oh yeah.,we're going to go see mommy.,I have a candy bar.,that's a bird.,are they toys or are they real.,they're all in a zoo.,no I mean the juice.,he's not a cat.,so we're just gonna go through the front door.,you know what we can do.,hey.,that's a little one.,and there's a bird.,and the truck.,what's this.,you like the goats.,what do you wanna play with.,hm.,so you're my baby sister.,that's a bird.,okay.,I'm gonna wash this pot and plate.,we're gonna eat it.,I have a birdie.
what's that bird doing.,this is a car.,do you have a car.,I think it's a house.,you're gonna put it in your mouth.,I see you're reading a book.,here's a cat.,little bird.,and then we can just put it back.,you see those are some of his friends.,we're eating some cheese.,the cat's gone out of the window.,we gotta get it in here.,this is a cat.,he's driving a car.,you want to do that or you want to do that.,oh my gosh what a beautiful bird that is.,oh yeah.,where's the car.,the cats.,yeah.,you see that boy there.,Mommy's grandma's grandma's grandma.,look there's a bird.,they were making a house for a doll.,oh.,that's right.,what's that.
look at that bird.,car.,here's a little car.,the house is kind of dirty.,and another block.,he's got a little brother.,they're a little bit better.,little birdie.,there's a car in the car.,you know it's not really a dog.,okay.,you can't touch it.,the little boy and the little girl.,it's a big cat.,they're just like the cars.,and the toy cars.,okay we can go to the park.,oh the red car.,oh.,where's the donkey.,and you get them out of the toy box and you can play with them and put them away when you're done.,we gotta go home now.,my husband's mom and dad.,you know what that is.,oh my goodness what happened.,yeah.,what's that.,the other baby.
there's a bird outside.,see the car.,yeah.,no you don't.,yes.,yeah.,oh here's a kitty cat.,can you make that bird sing.,what's this.,the wolf the wolf the wolf the wolf the wolf the wolf.,oh no.,this is a cat.,and when you come home you can get your bows and hats and then go shopping with mommy and daddy.,you wanna look at the cat.,they both have four wheels.,you see.,uh-huh.,and this is a car.,see the car.,and we can watch a movie about a penguin.,what's that.,he's your brother.,yeah.,well birds don't have fingers.,oh okay.,here's some more ice cream.,there's some chicken in it.,that's a horse.
there's a bird.,you see the car's got a seat.,uh huh.,here.,yes.,come here.,what's that.,see the birds.,I think you're gonna want to put it back.,we need to get him.,I'll put it in the fridge.,they're both cats.,there's a lot of water here in the sink.,the cat has a collar.,oh.,what does he say.,what's that.,see the car.,wanna go in the car.,look.,what do you want to do with your toys.,I'll go to the mall and you'll go to the park with your dad.,I'm going to go see if Mommy's in her bedroom.,that's a dove.,it's a very big house.,okay.,I like cereal.,see this.
what's this.,wow.,right.,oh I think you know.,he's got a little blue ball in his hand.,what's that.,it's a pussy cat.,see the bird.,hey.,they're.,yeah.,can you see the cat?,okay.,look at the cat.,he's not playing with the car anymore.,oh okay.,they're all very pretty.,it's a good car.,that's a pick up truck.,right here is a lion.,what does she have.,oh.,who are those people.,a robin.,and the house is nice.,that's a good one.,I think I'll give you some.,it's a panda bear.
look at the bird.,car.,it's a car.,what's that.,and it's a bunny.,and then we're gonna go and get a good bath.,and they're all furry and soft.,it's a parakeet.,you have to put it all back together.,yeah he's a chick.,well I'm gonna show you the way you can take it out and I'm gonna show you how you can put it in.,that's right. that's a cat.,okay you're done.,and the cat is on the sofa.,what did you say.,yeah.,a sparrow.,you're gonna need to get a big bag for it.,and it goes all around.,the baby goat.,okay.,did she put the books in the wrong place.,oh my gosh.,I'm gonna get a toy bird.,you can.,you know what.,where is the food.,oh that's right that's a cow.
you have a bird.,"yeah, we go to the car.",we'll go to the car.,let's look at the house.,oh we're getting more.,that's grandma.,yeah you wanna sit in the chair.,a bird.,what's this.,hey let's take a look at the picture.,we'll have some cookies for dessert.,here's a cat.,they're two.,hey baby.,yeah.,you're going to throw that in the air and catch it.,there's one sitting on a branch.,okay.,we're going to go to the car dealer.,that's a cow.,and then he said what was it.,and then they had their own house and they had a son.,so there's mommy and daddy.,a hawk.,yes.,and it has butter.,okay.,do you like animals.
we're going to be here a little while.,where's the teddy bear.,oh look at that kitty.,yeah.,he's got a blue hat on.,that's a duck.,oh wow.,okay.,yeah.,come on over here.,there's a dog in the house.,can you pick up the cookie for me.,I think they're yummy.,wanna look at this.,he's a big cat.,oh that's right.,that's a dog.,yeah.,what's that.,you have a house.,yeah there's the door.,and we're going to be in a car.,he's a very big elephant.,see the birds on the telephone wires.,it's a very good cat.,there.,what did we have for dinner.,and they're all different colors.
that's where the house is.,what's that.,you know what.,where's the other car.,let's go outside.,it's a crow.,a bird.,what's the little guy's name?,that's the front door.,it's called the staircase.,what's this.,what's that.,you can't eat it.,oh what's that.,oh I know what he's saying he's talking about a cat.,there's one on the street right now.,I think she's a girl.,I'm not going to go.,do you see the duck.,where's the toilet.,yeah.,it's a car.,you know it's a really good thing that they are a lot different.,you're a very nice bird.,you can't just eat your food.,a cat.,no.,you've got another one.
and here is the house.,I don't see anything.,that's a cat.,what's this.,I guess.,that's a blue jay.,that's a bluebird.,look at the dogs eyes.,yeah.,okay.,oh you're a good dog.,they're a special kind of food.,what's this.,what's that dog do.,oh no.,oh.,oh you got a dog.,how about your brother and sister and all your cousins.,that's a puppy.,they just make a house.,yeah.,okay.,you want your turtle.,and they're not in any trouble.,the cat's not with the dog.,the cat and the kitten.,he wants some fruit and yogurt and cheese and meatballs and toast.,you can play with these.
you need to go get the dishes.,you wanna play with that.,oh there's a cat.,you're gonna be a big brother.,we'll have to open the door.,we're gonna sing.,hey duck.,here we go.,yeah.,it's time for you to go to sleep.,you're a big dog.,can you put that on the floor.,we have some fruit on the table.,and we're going to go outside and go to the park and get a ball.,there's a big cat.,they're called minivans.,come on baby.,you know how we say that.,oh the little duckies were all so happy.,you want to take them to the dump.,a lot of people are coming to the house.,yeah.,you're a good boy.,yeah that's a nice bird.,oh look at this.,yeah.,yeah.,well the baby.
oh look at this house.,wanna look at your toys.,you're good at it.,that's Mommy.,where's the pig.,we're gonna read the book.,we can hear birds.,he's a dog.,the house.,that's the roof.,oh let's see.,okay.,that's a nice big bowl of rice.,and then you can put it in the trash can.,oh he's just sitting there.,and there's the car and there's the car.,oh good.,hey.,what's the name of the bird?,do you like the house.,they don't really have a house.,you know what I like.,it's a rabbit.,you think she's going to eat the bird.,so he's a black cat.,there is a kitten in the box.,and then we eat a snack and watch some cartoons.,oh what's this.
oh look.,here's a duck.,look at the cat.,there's a lot of people.,they're in the attic.,you're a bird.,and it's called a hawk.,it's a dog.,no.,there's a shelf on the wall.,yeah.,and they're not.,so there's a little bunny.,he said what's your name.,it's a cat.,okay let's put the car up and take the car down and we'll have it in a minute.,can you say dog.,yeah.,what animal are you looking at.,what's on the wall.,that's a nice house.,a car.,oh my goodness it's so pretty.,what kind of bird is this.,it's called a kitty.,yeah that's it.,it's okay.,okay.
let's go see the house.,that's right.,and here's a cat.,right.,and it's a house.,what's that.,what's this one.,that's right.,there's a door on the top of the house.,what's in the box.,you can't get it out.,that's a funny cereal.,and then she'll make some more.,come here.,the cat.,okay.,oh you want to play.,where's mommy.,see the little duckie.,okay you're gonna come back.,you're gonna take a bath.,that's a car.,and I don't know what kind of dog she has.,you can call it a hawk.,and she has big eyes.,and the cat got to eat the mouse.,well you're doing pretty good.,we can put the cars in the cars box.
it's a house.,you have the bunny.,cat.,you're a very good big sister.,"I'll tell you what. I'll give you a little warning, okay.",do you see the birds.,there's a little bird in there.,you're going to get a very good dog.,yeah.,can you draw a house with us.,hey what's that.,a piece of bread with cheese and a piece of meat.,the toast is in the toaster.,that's right.,can't you just put it back on.,oh it's gone.,did the dog run.,yes.,you wanna play with this bear.,what do we do in the house.,it's got a stove and a refrigerator.,it's got a big round window in it.,oh.,it's a hawk.,that's not a cat.,oh I see.,what are they going to eat.,are you ready.
look at the house.,what's this one.,it's a cat.,oh look mommy's cooking.,there's a house.,a. what's that.,oh.,that's a little dog.,oh this is the couch.,no.,wow.,well they're very small.,you don't want me to eat that.,oh what kind of dog.,see that's a cute little kitty.,okay.,look at the dog.,yeah.,and some animals that live in the water.,that's a big house.,can you find the table.,you got it.,that's a rabbit.,you see a bird.,he said that's a cat.,she's a nice cat.,he had an upset stomach.,what's that.
where's the dog.,no.,you can say cat.,oh oh.,you have a big house.,bird.,there's a bird on the tree.,what do you think of that.,that's not a door.,let's put this on the shelf.,do you have a dog.,yeah.,where's the potatoes.,what's the dog's name.,and cat goes like that.,he's a good guy.,oh my goodness.,I'm trying to find something to eat.,you can't use that.,we'll have to close the window.,whoa.,the car will turn left.,you're a good boy.,wanna get the bird out.,oh my goodness.,do you know what's this.,no he can't.,and it's called the baby bear.
house.,you're making the sound of a dog.,what's that.,you're right.,a house.,he's gonna sit down on the ground.,little bird.,yeah they're very good at it.,what's that.,what do you think of that house.,no I'm not gonna give you the dog.,yes I'm getting some food.,here's your peanut butter and jelly.,he's a nice dog.,see what's in there.,oh the car is going.,he likes to go to the beach.,yeah it's so fun.,we'll go get some ice cream and maybe you can get a scoop of vanilla and I'll get a scoop of chocolate.,you have to put the blanket up.,how about one of those.,and I'm going to put my head in the window and look at the scenery.,it's a really beautiful animal.,a bird.,yeah.,look at that little kitty.,well it's not for you.,that's right.
what's this.,wanna get your little piggy out of the piggy bank.,and the cat was in the tub.,who's this.,a little red house.,uhhuh.,uhhuh.,no.,yeah we'll make a house.,yeah you can go to the bathroom and flush the toilet.,you can't feed it.,what.,oh that's just a little bit of carrot.,what kind of dog is that.,right.,that's a big car.,okay.,okay.,where is the cat.,and you're going to use the broom.,you're going to love this house.,okay.,oh what are those.,the bird is a sparrow.,no you can't eat them.,right.,hey.,that's right.
you know what that is.,you're playing with.,do you want to see the cat.,well it's a pretty good day.,we have a house and a car.,go get it.,yeah bird.,look at the doggie and the bunny.,oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my oh my,it's a big house.,what's he got.,okay.,I'm so glad you're eating your peas.,look at all the different dogs.,well we'll have to let the cats out.,yeah it's a car.,that's a dog.,oh no.,can we have one more.,yeah.,that's a really nice house.,that's a car.,I see a little puppy.,I think we can get some.,oh my goodness.,can you say cat.,that's a good cup.,yeah.
let's go see the dogs.,what is this.,you wanna see the cat.,"yeah, you're right.","oh, here's the door.",look at that bird.,we're gonna feed it some bread.,let's go see the dog.,well they're clean.,there's a lot of furniture.,yeah.,hey.,that's right.,where's the dog.,cute kitty.,I'm going to get my car ready.,what kind of dog do you have.,and your parents.,well the wolf eats the rabbit.,the carpet is in the living room.,that's a nice looking bedroom.,that's right.,okay.,you think it's okay to give it to them.,oh.,a kitten is a baby cat.,and then you put them in the oven and they cook.,and a train.
and then you can put it back in its box.,wanna play with the truck.,it's a cat.,come here.,okay.,birdie birdie birdie.,and a pigeon.,that's the dog.,they're not.,okay let's turn the light on.,uh oh.,what's that.,okay.,this is a baby.,here's the cat.,see the car.,what's this.,okay honey we're gonna watch a movie about a family.,"they have big, shaggy fur.",you're going to the bathroom.,you're going to go to bed and we'll get the lights out.,I think that's a car.,they're pretty.,what does the bird have.,oh no he's not.,she's got a kitty kitty kitty kitty kitty kitty.,he did not have much in his tummy.,what did you say.
